hhnum,k1,k2,k3,k4,k5,k6,k7,k8,k9,k10,k11,k12,k13,k14,k15
101389,0.9877300613496932,0.9877300613496932,0.9877300613496932,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
101396,0.2256493506493506,0.2914144001490313,0.4512987012987012,0.8609429334326875,0.7832792207792207,0.8609429334326875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
101399,1.0,1.0,1.0,0.599074074074074,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
101400,,,,,,,,,,,,,,,
101426,0.8723404255319146,0.8723404255319146,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
101451,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
101456,0.6092089728453365,0.6092089728453365,0.9138134592680047,0.7060212514757971,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
101460,0.5470588235294118,1.0,1.0,0.9196078431372549,1.0,0.9588235294117647,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
101469,0.7125506072874492,0.7302631578947367,0.7479757085020241,0.7747975708502023,0.8016194331983804,0.9552316320435388,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
101481,0.412112259970458,0.412112259970458,0.6957163958641065,0.824224519940916,1.0,0.927621861152142,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
101494,1.0,0.988053919057377,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
101499,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
101501,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
101502,0.9457831325301203,0.9763078955164919,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
101503,1.0,0.9378478664192953,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
101521,0.8936170212765957,0.7522796352583587,1.0,1.0,1.0,1.0,0.9027355623100306,0.9027355623100306,1.0,1.0,1.0,1.0,1.0,1.0,1.0
101525,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
101531,,,,,,,,,,,,,,,
101537,0.8555045871559632,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
101541,0.5955176093916755,0.5955176093916755,0.7331910352187833,0.8687299893276413,0.9227588046958378,0.8932764140875132,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
101560,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
101570,0.7941176470588234,0.7941176470588234,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
101574,0.9940119760479044,0.9940119760479044,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
101580,0.8059701492537312,0.7675906183368869,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
101581,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
101590,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
101591,1.0,0.8164201396906027,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
101599,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
101602,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
101603,0.9670329670329672,1.0,0.9670329670329672,0.9670329670329672,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
101609,1.0,1.0,1.0,0.6055743243243243,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
101618,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
101626,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
101637,0.7330508474576272,0.7330508474576272,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
