hhnum,k9,k8,k7,k6,k5,k4,k3,k2,k1
105957,,,,,,,,,
105962,5,5,5,5,5,4,1,1,1
105985,2,2,2,2,2,2,2,2,1
105994,,,,,,,,,
105995,,,,,,,,,
106001,,,,,,,,,
106010,,,,,,,,,
106032,,,,,,,,,
106033,,,,,,,,,
106035,,,,,,,,,
106043,,,,,,,,,
106046,,,,,,,,,
106071,,,,,,,,,
106098,,,,,,,,,
106102,,,,,,,,,
106110,,,,,,,,,
106138,,,,,,,,,
106140,,,,,,,,,
106145,,,,,,,,,
106166,,,,,,,,,
106171,,,,,,,,,
106182,,,,,,,,,
106186,,,,,,,,,
106202,,,,,,,,,
106228,3,3,3,3,3,3,3,2,1
106255,,,,,,,,,
106256,,,,,,,,,
106265,,,,,,,,,
106267,,,,,,,,,
106274,,,,,,,,,
106276,,,,,,,,,
106278,,,,,,,,,
106280,,,,,,,,,
106293,,,,,,,,,
106294,,,,,,,,,
106327,,,,,,,,,
106356,,,,,,,,,
106357,,,,,,,,,
106365,,,,,,,,,
106367,,,,,,,,,
106382,,,,,,,,,
106384,,,,,,,,,
106388,,,,,,,,,
106390,,,,,,,,,
106396,,,,,,,,,
106419,,,,,,,,,
106422,,,,,,,,,
106425,,,,,,,,,
106432,,,,,,,,,
106442,,,,,,,,,
106443,,,,,,,,,
106462,,,,,,,,,
106464,,,,,,,,,
106467,,,,,,,,,
106471,,,,,,,,,
106475,,,,,,,,,
106477,,,,,,,,,
106486,,,,,,,,,
106493,,,,,,,,,
106507,,,,,,,,,
106508,,,,,,,,,
106518,,,,,,,,,
106534,,,,,,,,,
106550,,,,,,,,,
106562,,,,,,,,,
106589,,,,,,,,,
106614,,,,,,,,,
106615,,,,,,,,,
106623,,,,,,,,,
106624,,,,,,,,,
106625,,,,,,,,,
106629,2,2,2,2,2,2,2,2,1
106630,,,,,,,,,
106663,,,,,,,,,
106672,1,1,1,1,1,1,1,1,1
106683,,,,,,,,,
106693,,,,,,,,,
106705,,,,,,,,,
106715,,,,,,,,,
106717,,,,,,,,,
106721,,,,,,,,,
106727,,,,,,,,,
106733,,,,,,,,,
106741,,,,,,,,,
