hhnum,usdafoodcat4,grams,totitemexp,price_per_100g,num_milk_types
109920,1002.0,0.0,5.58,,2
109920,1004.0,0.0,1.8,,2
110046,1004.0,3904.0,1.99,0.05097336065573771,2
110046,1006.0,7808.0,8.97,0.11488217213114756,2
110052,1002.0,340.2,1.28,0.37624926513815404,3
110052,1004.0,1952.0,1.98,0.10143442622950821,3
110052,1006.0,1952.0,1.78,0.09118852459016394,3
110084,1002.0,15616.0,11.96,0.07658811475409837,2
110084,1004.0,2928.0,4.98,0.17008196721311478,2
110091,1002.0,3904.0,2.99,0.07658811475409837,2
110091,1004.0,7808.0,5.98,0.07658811475409837,2
110370,1002.0,7808.0,6.32,0.08094262295081968,2
110370,1004.0,3904.0,2.58,0.06608606557377049,2
110376,1006.0,3904.0,2.89,0.07402663934426229,2
110376,1008.0,0.0,1.59,,2
110401,1002.0,756.0,3.1,0.4100529100529101,2
110401,1004.0,3904.0,0.0,,2
110411,1002.0,1952.0,0.0,,2
110411,1004.0,1952.0,0.0,,2
110439,1002.0,3904.0,7.78,0.19928278688524592,2
110439,1004.0,6997.983067900001,8.38,0.11974878931101393,2
110443,1002.0,489.6,0.0,,3
110443,1004.0,3904.0,2.99,0.07658811475409837,3
110443,1006.0,3904.0,0.0,,3
110462,1004.0,3904.0,2.58,0.06608606557377049,2
110462,1008.0,7257.6,8.32,0.11463844797178131,2
110490,1002.0,15616.0,12.96,0.08299180327868853,2
110490,1004.0,976.0,1.59,0.16290983606557377,2
110529,1002.0,1952.0,2.99,0.15317622950819673,2
110529,1004.0,0.0,6.58,,2
110547,1002.0,3904.0,0.0,,2
110547,1008.0,3916.8,0.0,,2
110720,1004.0,11712.0,11.94,0.10194672131147539,2
110720,1008.0,3916.8,3.58,0.09140114379084967,2
110758,1002.0,0.0,1.46,,2
110758,1008.0,0.0,3.63,,2
110870,1004.0,1952.0,2.07,0.1060450819672131,2
110870,1008.0,979.2,1.19,0.12152777777777776,2
110990,1002.0,979.2,3.2800000000000002,0.33496732026143794,3
110990,1004.0,0.0,5.98,,3
110990,1008.0,3916.8,2.99,0.07633782679738563,3
111013,1002.0,4282.0,4.56,0.10649229332087809,2
111013,1004.0,3904.0,4.69,0.12013319672131148,2
111037,1002.0,340.2,1.25,0.36743092298647856,2
111037,1006.0,3904.0,2.99,0.07658811475409837,2
111297,1002.0,378.0,0.99,0.2619047619047619,2
111297,1004.0,1952.0,4.7,0.24077868852459017,2
111329,1004.0,0.0,6.58,,2
111329,1008.0,0.0,3.18,,2
111371,1002.0,3904.0,2.98,0.07633196721311475,2
111371,1004.0,3904.0,3.74,0.09579918032786887,2
111395,1004.0,0.0,2.32,,2
111395,1006.0,5856.0,4.9,0.08367486338797815,2
111469,1002.0,3904.0,2.58,0.06608606557377049,2
111469,1004.0,3904.0,2.58,0.06608606557377049,2
111577,1002.0,0.0,1.67,,2
111577,1004.0,0.0,3.33,,2
111612,1004.0,15616.0,9.57,0.06128329918032787,2
111612,1006.0,976.0,1.49,0.1526639344262295,2
111635,1002.0,976.0,1.49,0.1526639344262295,2
111635,1004.0,7808.0,5.78,0.07402663934426229,2
111663,1004.0,1952.0,1.89,0.09682377049180327,2
111663,1008.0,768.0,2.5,0.32552083333333337,2
111718,1002.0,1952.0,3.38,0.17315573770491802,3
111718,1006.0,3904.0,2.99,0.07658811475409837,3
111718,1008.0,3916.8,3.39,0.08655024509803921,3
111774,1002.0,7808.0,6.529999999999999,0.08363217213114753,2
111774,1006.0,3904.0,2.53,0.06480532786885246,2
111805,1004.0,1952.0,2.29,0.11731557377049182,2
111805,1008.0,1958.4,2.99,0.15267565359477125,2
111893,1002.0,378.0,0.69,0.18253968253968253,2
