hhnum,usdafoodcat4,grams,totitemexp,price_per_100g,price_source,num_milk_types
100681,1006,0.0,0.0,0.08913934426229508,cell,0
100681,1008,0.0,0.0,0.09012459150326797,cell,0
100686,1002,0.0,0.0,0.07914959016393443,cell,1
100686,1004,0.0,0.0,0.08286372950819672,cell,1
100686,1006,0.0,0.0,0.08939549180327869,cell,1
100686,1008,9792.0,5.0,0.05106209150326798,observed,1
100689,1002,4883.2,5.69,0.11652195281782439,observed,2
100689,1004,976.0,1.5,0.15368852459016394,observed,2
100689,1006,0.0,0.0,0.15317622950819673,cell,2
100689,1008,0.0,0.0,0.08833741830065359,cell,2
100690,1002,0.0,0.0,0.11949282786885246,cell,1
100690,1004,3904.0,0.0,0.09682377049180327,cell,1
100690,1006,0.0,0.0,0.09695184426229508,cell,1
100690,1008,0.0,0.0,0.08731617647058823,cell,1
100692,1002,0.0,0.0,0.09554303278688525,cell,1
100692,1004,3904.0,6.9399999999999995,0.17776639344262293,observed,1
100692,1006,0.0,0.0,0.10220286885245901,cell,1
100692,1008,0.0,0.0,0.1095281862745098,cell,1
100693,1002,0.0,0.0,0.09554303278688525,cell,1
100693,1004,0.0,0.0,0.09682377049180327,cell,1
100693,1006,0.0,0.0,0.10220286885245901,cell,1
100693,1008,1958.4,3.28,0.16748366013071894,observed,1
100697,1002,0.0,0.0,0.10860655737704919,cell,1
100697,1004,7808.0,7.98,0.10220286885245901,observed,1
100697,1006,0.0,0.0,0.06608606557377049,cell,1
100697,1008,0.0,0.0,0.07608251633986929,cell,1
100700,1002,0.0,0.0,0.09964139344262296,cell,1
100700,1004,3904.0,2.78,0.07120901639344263,observed,1
100700,1006,0.0,0.0,0.08913934426229508,cell,1
100700,1008,0.0,0.0,0.09012459150326797,cell,1
100714,1002,1952.0,2.14,0.1096311475409836,observed,1
100714,1004,0.0,0.0,0.18442622950819673,cell,1
100714,1006,0.0,0.0,0.09042008196721311,placetype_rural_nonmetro,1
100714,1008,0.0,0.0,0.05846609477124183,cell,1
100720,1002,0.0,0.0,0.09554303278688525,cell,1
100720,1004,3904.0,2.79,0.07146516393442623,observed,1
100720,1006,0.0,0.0,0.10220286885245901,cell,1
100720,1008,0.0,0.0,0.1095281862745098,cell,1
100726,1002,0.0,0.0,0.11385758196721311,cell,1
100726,1004,1952.0,1.88,0.09631147540983606,observed,1
100726,1006,0.0,0.0,0.15317622950819673,cell,1
100726,1008,0.0,0.0,0.08833741830065359,cell,1
100742,1002,0.0,0.0,0.10578893442622951,cell,1
100742,1004,3904.0,8.58,0.21977459016393444,observed,1
100742,1006,0.0,0.0,0.09554303278688525,cell,1
100742,1008,0.0,0.0,0.09395424836601307,cell,1
100753,1002,3904.0,6.49,0.16623975409836067,observed,1
100753,1004,0.0,0.0,0.07146516393442623,cell,1
100753,1006,0.0,0.0,0.06608606557377049,cell,1
100753,1008,0.0,0.0,0.07608251633986929,cell,1
100768,1002,0.0,0.0,0.09682377049180327,cell,1
100768,1004,3898.418665554,3.79,0.09721890656557809,observed,1
100768,1006,0.0,0.0,0.08913934426229508,cell,1
100768,1008,0.0,0.0,0.08552900326797384,cell,1
100781,1002,0.0,0.0,0.10860655737704919,cell,2
100781,1004,4880.0,5.0600000000000005,0.10368852459016395,observed,2
100781,1006,0.0,0.0,0.06608606557377049,cell,2
100781,1008,384.0,0.97,0.25260416666666663,observed,2
100783,1002,0.0,0.0,0.10630122950819672,cell,1
100783,1004,7808.0,7.83,0.10028176229508197,observed,1
100783,1006,0.0,0.0,0.08939549180327869,global,1
100783,1008,0.0,0.0,0.21382250816993467,placetype,1
100792,1002,1952.0,2.79,0.14293032786885246,observed,2
100792,1004,1952.0,0.0,0.09221311475409837,placetype_rural_nonmetro,2
100792,1006,0.0,0.0,0.08939549180327869,global,2
100792,1008,0.0,0.0,0.21382250816993467,placetype,2
100796,1002,0.0,0.0,0.19576719576719576,cell,1
100796,1004,976.0,1.99,0.20389344262295084,observed,1
100796,1006,0.0,0.0,0.08913934426229508,cell,1
100796,1008,0.0,0.0,0.09906045751633986,cell,1
100799,1002,0.0,0.0,0.09938524590163934,global,1
100799,1004,0.0,0.0,0.1127049180327869,cell,1
100799,1006,3904.0,2.89,0.07402663934426229,observed,1
100799,1008,0.0,0.0,0.08578431372549018,cell,1
100805,1002,7808.0,5.47,0.0700563524590164,observed,1
100805,1004,0.0,0.0,0.07146516393442623,cell,1
100805,1006,0.0,0.0,0.06608606557377049,cell,1
100805,1008,0.0,0.0,0.07608251633986929,cell,1
100810,1002,0.0,0.0,0.09682377049180327,cell,1
100810,1004,3904.0,7.72,0.19774590163934425,observed,1
